Entity,Code,Year,Coal (terawatt-hours)
Argentina,ARG,2013,14.567322576400002
Argentina,ARG,2014,17.31707
Argentina,ARG,2015,15.814129277700687
Argentina,ARG,2016,12.295300280152857
Asia Pacific,,1965,2780.3518312781666
Asia Pacific,,1966,2931.1215294247995
Asia Pacific,,1967,2853.893778242246
Asia Pacific,,1968,2896.2602796446213
Asia Pacific,,1969,3249.66083747946
Asia Pacific,,1970,3630.5390431883643
Asia Pacific,,1971,3886.1879371722957
Asia Pacific,,1972,4035.8523207641515
Asia Pacific,,1973,4133.41403780225
Asia Pacific,,1974,4233.925771833431
Asia Pacific,,1975,4556.552125491946
Asia Pacific,,1976,4664.733321979492
Asia Pacific,,1977,4974.502928277368
Asia Pacific,,1978,5218.06566170913
Asia Pacific,,1979,5470.8399188868225
Asia Pacific,,1980,5782.5700799815895
Asia Pacific,,1981,5973.643843423886
Asia Pacific,,1982,6182.844191901567
Asia Pacific,,1983,6545.097737992767
Asia Pacific,,1984,7111.9834128383645
Asia Pacific,,1985,7673.2547468488565
Asia Pacific,,1986,7967.96587110291
Asia Pacific,,1987,8542.292161317213
Asia Pacific,,1988,9153.141254679495
Asia Pacific,,1989,9566.150562284425
Asia Pacific,,1990,9774.237264697316
Asia Pacific,,1991,10181.550897090681
Asia Pacific,,1992,10530.61342772129
Asia Pacific,,1993,11081.814968935509
Asia Pacific,,1994,11635.420478462174
Asia Pacific,,1995,11915.681291690129
Asia Pacific,,1996,12426.592328089919
Asia Pacific,,1997,12479.927614613433
Asia Pacific,,1998,12470.38161062551
Asia Pacific,,1999,12867.746528281743
Asia Pacific,,2000,13304.05274618416
Asia Pacific,,2001,13915.379938866316
Asia Pacific,,2002,14981.427302671726
Asia Pacific,,2003,17129.861197325976
Asia Pacific,,2004,19268.31017027655
Asia Pacific,,2005,21897.434790054584
Asia Pacific,,2006,23559.259313183305
Asia Pacific,,2007,25555.882580364138
Asia Pacific,,2008,26252.40591851803
Asia Pacific,,2009,27170.907173304822
Asia Pacific,,2010,28403.446679870805
Asia Pacific,,2011,30477.696130197324
Asia Pacific,,2012,31137.956329991925
Asia Pacific,,2013,31962.60224780335
Asia Pacific,,2014,32179.920139182188
Asia Pacific,,2015,31956.1517227553
Asia Pacific,,2016,32024.752430457127
Australia,AUS,1965,202.02777777777786
Australia,AUS,1966,209.3888888888889
Australia,AUS,1967,215.25000000000009
Australia,AUS,1968,221.69444444444454
Australia,AUS,1969,229.27777777777786
Australia,AUS,1970,231.6944444444445
Australia,AUS,1971,232.56944444444454
Australia,AUS,1972,242.9305555555556
Australia,AUS,1973,252.98611111111117
Australia,AUS,1974,264.06944444444457
Australia,AUS,1975,272.54166666666674
Australia,AUS,1976,281.79166666666674
Australia,AUS,1977,294.1805555555557
Australia,AUS,1978,301.8611111111112
Australia,AUS,1979,315.54166666666674
Australia,AUS,1980,324.763888888889
Australia,AUS,1981,333.13888888888897
Australia,AUS,1982,336.68055555555566
Australia,AUS,1983,336.55555555555566
Australia,AUS,1984,355.9027777777779
Australia,AUS,1985,368.13888888888897
Australia,AUS,1986,377.4861111111112
Australia,AUS,1987,393.36111111111126
Australia,AUS,1988,413.763888888889
Australia,AUS,1989,433.9583333333335
Australia,AUS,1990,444.34722222222234
Australia,AUS,1991,453.263888888889
Australia,AUS,1992,455.95833333333354
Australia,AUS,1993,458.8888888888891
Australia,AUS,1994,468.26388888888897
Australia,AUS,1995,484.1666666666668
Australia,AUS,1996,503.9583333333335
Australia,AUS,1997,529.4583333333335
Australia,AUS,1998,553.0833333333335
Australia,AUS,1999,556.0201865974949
Australia,AUS,2000,558.2896581978297
Australia,AUS,2001,551.8628174734714
Australia,AUS,2002,563.9828572556745
Australia,AUS,2003,580.1952719466764
Australia,AUS,2004,605.1317099052295
Australia,AUS,2005,601.7575547365615
Australia,AUS,2006,617.7222504432548
Australia,AUS,2007,612.4516910223895
Australia,AUS,2008,637.9432302611025
Australia,AUS,2009,617.7940717988861
Australia,AUS,2010,574.4026720950579
Australia,AUS,2011,559.5462010434082
Australia,AUS,2012,524.4349678298349
Australia,AUS,2013,500.0929010791986
Australia,AUS,2014,495.93594133600635
Australia,AUS,2015,512.7355394877562
Australia,AUS,2016,509.47057598978324
Austria,AUT,1965,59.11489975259653
Austria,AUT,1966,56.467596389378805
Austria,AUT,1967,53.450901859200485
Austria,AUT,1968,52.773684719772696
Austria,AUT,1969,51.93639807466198
Austria,AUT,1970,55.854166666666686
Austria,AUT,1971,51.233611111111124
Austria,AUT,1972,46.453888888888905
Austria,AUT,1973,46.16972222222224
Austria,AUT,1974,48.72277777777779
Austria,AUT,1975,42.34055555555557
Austria,AUT,1976,45.06000000000002
Austria,AUT,1977,37.80027777777779
Austria,AUT,1978,38.402222222222235
Austria,AUT,1979,41.686111111111124
Austria,AUT,1980,42.83472222222224
Austria,AUT,1981,43.850000000000016
Austria,AUT,1982,41.70555555555557
Austria,AUT,1983,44.65583333333335
Austria,AUT,1984,50.8863888888889
Austria,AUT,1985,50.81500000000001
Austria,AUT,1986,45.302500000000016
Austria,AUT,1987,44.93944444444446
Austria,AUT,1988,43.0338888888889
Austria,AUT,1989,43.22805555555557
Austria,AUT,1990,47.64055555555558
Austria,AUT,1991,49.972222222222236
Austria,AUT,1992,38.88194444444446
Austria,AUT,1993,34.959166666666675
Austria,AUT,1994,35.454444444444455
Austria,AUT,1995,40.33861111111113
Austria,AUT,1996,40.510277777777794
Austria,AUT,1997,42.968888888888905
Austria,AUT,1998,37.83000000000001
Austria,AUT,1999,37.569916315173984
Austria,AUT,2000,42.47900525765001
Austria,AUT,2001,43.88108319616041
Austria,AUT,2002,44.575066511331386
Austria,AUT,2003,47.54769430607133
Austria,AUT,2004,46.57630650443415
Austria,AUT,2005,46.53093806787072
Austria,AUT,2006,47.32915470903425
Austria,AUT,2007,45.38575649403031
Austria,AUT,2008,43.650307147218484
Austria,AUT,2009,33.47778568327958
Austria,AUT,2010,39.36074118480406
Austria,AUT,2011,40.37979240364613
Austria,AUT,2012,37.57339544719548
Austria,AUT,2013,38.13585257593391
Austria,AUT,2014,34.85219531363465
Austria,AUT,2015,37.69503442956745
Austria,AUT,2016,36.93268766582339
Azerbaijan,AZE,1985,1.06996
Azerbaijan,AZE,1986,1.06996
Azerbaijan,AZE,1987,1.06996
Azerbaijan,AZE,1988,1.06996
Azerbaijan,AZE,1989,1.06996
Azerbaijan,AZE,1990,1.03507
Azerbaijan,AZE,1991,0.7792100000000001
Azerbaijan,AZE,1992,0.13956000000000002
Azerbaijan,AZE,1993,0.034890000000000004
Azerbaijan,AZE,1994,0.046520000000000006
Azerbaijan,AZE,1995,0.034890000000000004
Azerbaijan,AZE,1996,0.034890000000000004
Azerbaijan,AZE,1997,0.034890000000000004
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0.034890000000000004
Azerbaijan,AZE,2002,0.023260000000000003
Azerbaijan,AZE,2003,0.034890000000000004
Azerbaijan,AZE,2004,0.010699600000000002
Azerbaijan,AZE,2005,0.037448600000000005
Azerbaijan,AZE,2006,0.037448600000000005
Azerbaijan,AZE,2007,0.01442600319
Azerbaijan,AZE,2008,0.0812037421826
Azerbaijan,AZE,2009,0.04792951087560002
Azerbaijan,AZE,2010,0.006118191774
Azerbaijan,AZE,2011,0.040368108905400005
Azerbaijan,AZE,2012,0.006341652920000001
Azerbaijan,AZE,2013,0.03413776392420001
Azerbaijan,AZE,2014,0.019291512545
Azerbaijan,AZE,2015,0.0041155369424
Azerbaijan,AZE,2016,0.004126812386077807
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,1.08698632
Bangladesh,BGD,1973,1.41251002
Bangladesh,BGD,1974,1.25556317
Bangladesh,BGD,1975,1.4531917600000002
Bangladesh,BGD,1976,1.4357583900000002
Bangladesh,BGD,1977,1.49970013
Bangladesh,BGD,1978,1.4531917600000002
Bangladesh,BGD,1979,1.08118295
Bangladesh,BGD,1980,1.4443297
Bangladesh,BGD,1981,1.4847788400000002
Bangladesh,BGD,1982,1.79867254
Bangladesh,BGD,1983,1.0179855300000002
Bangladesh,BGD,1984,0.4073872700000001
Bangladesh,BGD,1985,0.5696490300000001
Bangladesh,BGD,1986,0.86029436
Bangladesh,BGD,1987,1.35437165
Bangladesh,BGD,1988,1.39506502
Bangladesh,BGD,1989,1.4531917600000002
Bangladesh,BGD,1990,3.2725889599999998
Bangladesh,BGD,1991,1.04630458
Bangladesh,BGD,1992,0.9823628400000001
Bangladesh,BGD,1993,0.36620544000000005
Bangladesh,BGD,1994,0.34295707000000003
Bangladesh,BGD,1995,3.7317995100000005
Bangladesh,BGD,1996,2.04610079
Bangladesh,BGD,1997,3.7550595100000006
Bangladesh,BGD,1998,1.0811713200000002
Bangladesh,BGD,1999,0.5347706600000001
Bangladesh,BGD,2000,3.836434620000001
Bangladesh,BGD,2001,4.068941580000001
Bangladesh,BGD,2002,4.2491368000000005
Bangladesh,BGD,2003,4.0631265800000005
Bangladesh,BGD,2004,4.068941580000001
Bangladesh,BGD,2005,5.59190171
Bangladesh,BGD,2006,5.481451600000001
Bangladesh,BGD,2007,7.19039869
Bangladesh,BGD,2008,7.45779565
Bangladesh,BGD,2009,9.00399252
Bangladesh,BGD,2010,9.405076330000002
Bangladesh,BGD,2011,8.48084023
Bangladesh,BGD,2012,10.492062650000001
Bangladesh,BGD,2013,11.21319243
Bangladesh,BGD,2014,9.03887089
Bangladesh,BGD,2015,8.05793523365902
Bangladesh,BGD,2016,9.451495421364429
Belarus,BLR,1985,25.112379880000002
Belarus,BLR,1986,27.47188591
Belarus,BLR,1987,26.71053959
Belarus,BLR,1988,28.616346151990722
Belarus,BLR,1989,28.09226910591109
Belarus,BLR,1990,24.71020285
Belarus,BLR,1991,23.47315464
Belarus,BLR,1992,19.550192820000003
Belarus,BLR,1993,16.79005655
Belarus,BLR,1994,11.763756630000001
Belarus,BLR,1995,11.069910830000001
Belarus,BLR,1996,13.434568950000001
Belarus,BLR,1997,14.157129220000002
Belarus,BLR,1998,12.563811700390902
Belarus,BLR,1999,11.656455721056501
Belarus,BLR,2000,11.571725540508302
Belarus,BLR,2001,8.308523855727701
Belarus,BLR,2002,7.8374481909728
Belarus,BLR,2003,7.3767715811993
Belarus,BLR,2004,7.2259380391874
Belarus,BLR,2005,7.979853770229073
Belarus,BLR,2006,7.144689955555008
Belarus,BLR,2007,8.080224093574232
Belarus,BLR,2008,7.5326538634488
Belarus,BLR,2009,7.1767772755727055
Belarus,BLR,2010,7.5073488349541035
Belarus,BLR,2011,9.01861486408314
Belarus,BLR,2012,9.19935326
Belarus,BLR,2013,10.001825134756
Belarus,BLR,2014,9.155477787092
Belarus,BLR,2015,7.748474766542112
Belarus,BLR,2016,9.054196345400634
Belgium,BEL,1965,222.93715460550004
Belgium,BEL,1966,203.37099414440004
Belgium,BEL,1967,199.59725057420002
Belgium,BEL,1968,206.06417824890002
Belgium,BEL,1969,200.69035136670004
Belgium,BEL,1970,189.13449273300003
Belgium,BEL,1971,156.61695237330002
Belgium,BEL,1972,149.58344191810002
Belgium,BEL,1973,125.52781780130002
Belgium,BEL,1974,134.2674400688
Belgium,BEL,1975,100.27896745406002
Belgium,BEL,1976,104.50377222392001
Belgium,BEL,1977,105.99527027316
Belgium,BEL,1978,108.54405786771002
Belgium,BEL,1979,120.93531781170002
Belgium,BEL,1980,121.91450647580001
Belgium,BEL,1981,126.2925643844
Belgium,BEL,1982,126.4905105897
Belgium,BEL,1983,107.94012616794002
Belgium,BEL,1984,125.17853738400002
Belgium,BEL,1985,124.82668894640003
Belgium,BEL,1986,106.50946124111002
Belgium,BEL,1987,105.99314400678
Belgium,BEL,1988,107.10849779247002
Belgium,BEL,1989,112.53452318499001
Belgium,BEL,1990,123.24194700000001
Belgium,BEL,1991,117.038505
Belgium,BEL,1992,107.156494
Belgium,BEL,1993,98.77359000000001
Belgium,BEL,1994,104.28737300000002
Belgium,BEL,1995,100.62276000000001
Belgium,BEL,1996,96.07194100000002
Belgium,BEL,1997,92.817867
Belgium,BEL,1998,93.63894500000002
Belgium,BEL,1999,82.10780000000001
Belgium,BEL,2000,93.058608
Belgium,BEL,2001,86.095727
Belgium,BEL,2002,74.48433500000002
Belgium,BEL,2003,69.93700500000001
Belgium,BEL,2004,68.24135100000001
Belgium,BEL,2005,60.149197
Belgium,BEL,2006,57.590596999999995
Belgium,BEL,2007,51.406926000000006
Belgium,BEL,2008,52.90138100000001
Belgium,BEL,2009,36.486799000000005
Belgium,BEL,2010,43.762527000000006
Belgium,BEL,2011,40.845723
Belgium,BEL,2012,37.393939
Belgium,BEL,2013,38.884905
Belgium,BEL,2014,38.759301
Belgium,BEL,2015,37.019453000000006
Belgium,BEL,2016,34.63860592
Brazil,BRA,1965,20.178050000000002
Brazil,BRA,1966,21.864400000000003
Brazil,BRA,1967,22.59709
Brazil,BRA,1968,22.236560000000004
Brazil,BRA,1969,24.81842
Brazil,BRA,1970,28.344795610120006
Brazil,BRA,1971,28.532440356840002
Brazil,BRA,1972,30.035911735310002
Brazil,BRA,1973,29.518560500940005
Brazil,BRA,1974,31.312281940600002
Brazil,BRA,1975,37.225247827100006
Brazil,BRA,1976,39.72639494093
Brazil,BRA,1977,50.386036912570006
Brazil,BRA,1978,57.935014763110004
Brazil,BRA,1979,62.92865974814
Brazil,BRA,1980,68.644761973
Brazil,BRA,1981,67.15785671543001
Brazil,BRA,1982,70.99180348072001
Brazil,BRA,1983,79.83681000467
Brazil,BRA,1984,98.59130966056
Brazil,BRA,1985,116.54804306995001
Brazil,BRA,1986,117.99250417732
Brazil,BRA,1987,123.5547914414
Brazil,BRA,1988,126.26783377090001
Brazil,BRA,1989,125.29147891912001
Brazil,BRA,1990,111.62079044734801
Brazil,BRA,1991,127.963541910876
Brazil,BRA,1992,124.18001427753605
Brazil,BRA,1993,127.936268844468
Brazil,BRA,1994,131.33164935878403
Brazil,BRA,1995,137.72982238545598
Brazil,BRA,1996,142.119135277728
Brazil,BRA,1997,142.97126166078002
Brazil,BRA,1998,140.04022079628
Brazil,BRA,1999,141.80779683294003
Brazil,BRA,2000,151.18148930556004
Brazil,BRA,2001,148.78800453258003
Brazil,BRA,2002,144.01039162400002
Brazil,BRA,2003,149.418728903
Brazil,BRA,2004,156.65688689743004
Brazil,BRA,2005,151.08460255893405
Brazil,BRA,2006,148.973973770786
Brazil,BRA,2007,157.87172154201014
Brazil,BRA,2008,160.13235547956978
Brazil,BRA,2009,129.20716026055794
Brazil,BRA,2010,168.19764070444415
Brazil,BRA,2011,179.66970046795956
Brazil,BRA,2012,177.79640942355877
Brazil,BRA,2013,191.6434945517416
Brazil,BRA,2014,203.76636967510356
Brazil,BRA,2015,205.56176353494706
Brazil,BRA,2016,192.11358582639951
Bulgaria,BGR,1965,69.73348000000001
Bulgaria,BGR,1966,71.90829000000001
Bulgaria,BGR,1967,78.08382000000002
Bulgaria,BGR,1968,84.82922
Bulgaria,BGR,1969,85.28279
Bulgaria,BGR,1970,93.28423000000002
Bulgaria,BGR,1971,92.07471000000001
Bulgaria,BGR,1972,94.9008
Bulgaria,BGR,1973,95.63349
Bulgaria,BGR,1974,94.00529
Bulgaria,BGR,1975,98.55262
Bulgaria,BGR,1976,91.86537000000001
Bulgaria,BGR,1977,91.49321
Bulgaria,BGR,1978,97.55244
Bulgaria,BGR,1979,100.58787000000002
Bulgaria,BGR,1980,105.50735999999999
Bulgaria,BGR,1981,107.13556
Bulgaria,BGR,1982,112.55514000000002
Bulgaria,BGR,1983,112.12483
Bulgaria,BGR,1984,112.29928
Bulgaria,BGR,1985,117.20714
Bulgaria,BGR,1986,120.47517000000003
Bulgaria,BGR,1987,120.37050000000002
Bulgaria,BGR,1988,112.13646
Bulgaria,BGR,1989,114.45083000000002
Bulgaria,BGR,1990,101.374058
Bulgaria,BGR,1991,89.52192500000001
Bulgaria,BGR,1992,87.878606
Bulgaria,BGR,1993,94.63679900000001
Bulgaria,BGR,1994,88.069338
Bulgaria,BGR,1995,88.63571900000001
Bulgaria,BGR,1996,89.912693
Bulgaria,BGR,1997,91.13151699999999
Bulgaria,BGR,1998,87.22034800000002
Bulgaria,BGR,1999,75.463581
Bulgaria,BGR,2000,74.814627
Bulgaria,BGR,2001,84.250046
Bulgaria,BGR,2002,77.345315
Bulgaria,BGR,2003,85.20952100000001
Bulgaria,BGR,2004,83.97557800000001
Bulgaria,BGR,2005,80.18885
Bulgaria,BGR,2006,81.009928
Bulgaria,BGR,2007,91.455994
Bulgaria,BGR,2008,87.819293
Bulgaria,BGR,2009,74.43781500000001
Bulgaria,BGR,2010,80.145819
Bulgaria,BGR,2011,94.33907099999999
Bulgaria,BGR,2012,80.612182
Bulgaria,BGR,2013,68.94264
Bulgaria,BGR,2014,74.391295
Bulgaria,BGR,2015,76.981296
Bulgaria,BGR,2016,66.809239778
CIS,,1965,0
CIS,,1966,0
CIS,,1967,0
CIS,,1968,0
CIS,,1969,0
CIS,,1970,0
CIS,,1971,0
CIS,,1972,0
CIS,,1973,0
CIS,,1974,0
CIS,,1975,0
CIS,,1976,0
CIS,,1977,0
CIS,,1978,0
CIS,,1979,0
CIS,,1980,0
CIS,,1981,0
CIS,,1982,0
CIS,,1983,0
CIS,,1984,0
CIS,,1985,3764.4124742160684
CIS,,1986,3858.277427938711
CIS,,1987,3907.4831944511093
CIS,,1988,3821.6119312686765
CIS,,1989,3651.987213459005
CIS,,1990,3563.483727640977
CIS,,1991,3219.269139538787
CIS,,1992,3088.161987837459
CIS,,1993,2762.1899584801263
CIS,,1994,2426.4168551761845
CIS,,1995,2231.410604559998
CIS,,1996,2070.3245605710936
CIS,,1997,1977.508555148063
CIS,,1998,1878.246140372786
CIS,,1999,1887.6524398666427
CIS,,2000,1920.0064302925502
CIS,,2001,1944.704166302744
CIS,,2002,1947.023202131682
CIS,,2003,1995.6606557872349
CIS,,2004,1952.5534966897583
CIS,,2005,1876.5255809381563
CIS,,2006,1945.7865553199201
CIS,,2007,1945.6473394116867
CIS,,2008,2081.9519830747054
CIS,,2009,1878.3087551577
CIS,,2010,1915.148592347352
CIS,,2011,2031.6775226057318
CIS,,2012,2102.073785549054
CIS,,2013,1997.7227236341976
CIS,,2014,1951.1876248395752
CIS,,2015,1847.656685100247
CIS,,2016,1835.9361270936727
Canada,CAN,1965,179.98588
Canada,CAN,1966,176.45036
Canada,CAN,1967,174.82216000000003
Canada,CAN,1968,189.92953
Canada,CAN,1969,183.37021000000001
Canada,CAN,1970,196.87264000000002
Canada,CAN,1971,187.1267
Canada,CAN,1972,176.57829
Canada,CAN,1973,181.85831000000002
Canada,CAN,1974,184.77744
Canada,CAN,1975,179.76491000000001
Canada,CAN,1976,212.82899999999998
Canada,CAN,1977,271.95592000000005
Canada,CAN,1978,223.62164000000004
Canada,CAN,1979,211.74741000000003
Canada,CAN,1980,257.891388888889
Canada,CAN,1981,263.3172222222223
Canada,CAN,1982,278.2447222222223
Canada,CAN,1983,291.11527777777786
Canada,CAN,1984,324.271388888889
Canada,CAN,1985,311.69055555555565
Canada,CAN,1986,288.88305555555564
Canada,CAN,1987,310.48444444444453
Canada,CAN,1988,333.4186111111112
Canada,CAN,1989,332.7183333333335
Canada,CAN,1990,315.60305555555567
Canada,CAN,1991,305.49611111111125
Canada,CAN,1992,311.2091666666668
Canada,CAN,1993,276.3097222222223
Canada,CAN,1994,292.9691666666668
Canada,CAN,1995,306.2336111111112
Canada,CAN,1996,312.63083333333344
Canada,CAN,1997,326.8466666666668
Canada,CAN,1998,349.53472222222234
Canada,CAN,1999,336.12083333333345
Canada,CAN,2000,355.73555555555566
Canada,CAN,2001,369.79250000000013
Canada,CAN,2002,372.0708333333335
Canada,CAN,2003,371.29583333333346
Canada,CAN,2004,348.8641666666668
Canada,CAN,2005,349.4950000000001
Canada,CAN,2006,339.17611111111125
Canada,CAN,2007,352.231388888889
Canada,CAN,2008,341.9108333333334
Canada,CAN,2009,273.1350000000001
Canada,CAN,2010,288.0236111111112
Canada,CAN,2011,253.09555555555565
Canada,CAN,2012,244.81083333333342
Canada,CAN,2013,241.50251966388896
Canada,CAN,2014,229.4751490000001
Canada,CAN,2015,228.47789480371952
Canada,CAN,2016,217.21261086508952
Chile,CHL,1965,13.548950000000001
Chile,CHL,1966,13.956000000000001
Chile,CHL,1967,13.956000000000001
Chile,CHL,1968,13.956000000000001
Chile,CHL,1969,13.956000000000001
Chile,CHL,1970,14.92129
Chile,CHL,1971,14.409570000000002
Chile,CHL,1972,11.909120000000001
Chile,CHL,1973,12.932560000000002
Chile,CHL,1974,12.258020000000002
Chile,CHL,1975,9.79246
Chile,CHL,1976,9.8855
Chile,CHL,1977,10.64145
Chile,CHL,1978,10.37396
Chile,CHL,1979,11.478810000000001
Chile,CHL,1980,12.676700000000002
Chile,CHL,1981,12.653440000000002
Chile,CHL,1982,8.431750000000001
Chile,CHL,1983,10.10647
Chile,CHL,1984,13.63036
Chile,CHL,1985,13.641990000000002
Chile,CHL,1986,12.955820000000003
Chile,CHL,1987,13.351240000000002
Chile,CHL,1988,18.608
Chile,CHL,1989,25.14406
Chile,CHL,1990,30.291498
Chile,CHL,1991,24.885874000000005
Chile,CHL,1992,21.517826000000003
Chile,CHL,1993,21.709721000000002
Chile,CHL,1994,25.605771000000004
Chile,CHL,1995,27.604968000000003
Chile,CHL,1996,38.25276798
Chile,CHL,1997,49.797682900000005
Chile,CHL,1998,46.85378100000001
Chile,CHL,1999,48.350562000000004
Chile,CHL,2000,37.363701000000006
Chile,CHL,2001,29.314578
Chile,CHL,2002,29.547178000000002
Chile,CHL,2003,28.250433
Chile,CHL,2004,32.72340705219281
Chile,CHL,2005,32.07010845310161
Chile,CHL,2006,40.038473937373226
Chile,CHL,2007,47.52157068272791
Chile,CHL,2008,50.81752067829479
Chile,CHL,2009,46.45757572523896
Chile,CHL,2010,52.229167000000004
Chile,CHL,2011,66.986474
Chile,CHL,2012,78.098939
Chile,CHL,2013,87.787892
Chile,CHL,2014,88.557798
